  源.cpp
c:\users\13978\desktop\yaogit666\买卖股票的最佳时机含冰冻期\买卖股票的最佳时机含冰冻期\源.cpp(3): error C2061: 语法错误: 标识符“vector”
c:\users\13978\desktop\yaogit666\买卖股票的最佳时机含冰冻期\买卖股票的最佳时机含冰冻期\源.cpp(4): error C2065: “prices”: 未声明的标识符
c:\users\13978\desktop\yaogit666\买卖股票的最佳时机含冰冻期\买卖股票的最佳时机含冰冻期\源.cpp(6): error C2065: “prices”: 未声明的标识符
c:\users\13978\desktop\yaogit666\买卖股票的最佳时机含冰冻期\买卖股票的最佳时机含冰冻期\源.cpp(7): error C2065: “vector”: 未声明的标识符
c:\users\13978\desktop\yaogit666\买卖股票的最佳时机含冰冻期\买卖股票的最佳时机含冰冻期\源.cpp(7): error C2062: 意外的类型“int”
c:\users\13978\desktop\yaogit666\买卖股票的最佳时机含冰冻期\买卖股票的最佳时机含冰冻期\源.cpp(10): error C2065: “dp”: 未声明的标识符
c:\users\13978\desktop\yaogit666\买卖股票的最佳时机含冰冻期\买卖股票的最佳时机含冰冻期\源.cpp(11): error C2065: “dp”: 未声明的标识符
c:\users\13978\desktop\yaogit666\买卖股票的最佳时机含冰冻期\买卖股票的最佳时机含冰冻期\源.cpp(11): error C2065: “prices”: 未声明的标识符
c:\users\13978\desktop\yaogit666\买卖股票的最佳时机含冰冻期\买卖股票的最佳时机含冰冻期\源.cpp(12): error C2065: “dp”: 未声明的标识符
c:\users\13978\desktop\yaogit666\买卖股票的最佳时机含冰冻期\买卖股票的最佳时机含冰冻期\源.cpp(12): error C2065: “prices”: 未声明的标识符
c:\users\13978\desktop\yaogit666\买卖股票的最佳时机含冰冻期\买卖股票的最佳时机含冰冻期\源.cpp(12): error C3861: “max”: 找不到标识符
c:\users\13978\desktop\yaogit666\买卖股票的最佳时机含冰冻期\买卖股票的最佳时机含冰冻期\源.cpp(13): error C2065: “dp”: 未声明的标识符
c:\users\13978\desktop\yaogit666\买卖股票的最佳时机含冰冻期\买卖股票的最佳时机含冰冻期\源.cpp(13): error C2065: “prices”: 未声明的标识符
c:\users\13978\desktop\yaogit666\买卖股票的最佳时机含冰冻期\买卖股票的最佳时机含冰冻期\源.cpp(13): error C3861: “max”: 找不到标识符
c:\users\13978\desktop\yaogit666\买卖股票的最佳时机含冰冻期\买卖股票的最佳时机含冰冻期\源.cpp(16): error C2065: “dp”: 未声明的标识符
c:\users\13978\desktop\yaogit666\买卖股票的最佳时机含冰冻期\买卖股票的最佳时机含冰冻期\源.cpp(16): error C2065: “prices”: 未声明的标识符
c:\users\13978\desktop\yaogit666\买卖股票的最佳时机含冰冻期\买卖股票的最佳时机含冰冻期\源.cpp(16): error C3861: “max”: 找不到标识符
c:\users\13978\desktop\yaogit666\买卖股票的最佳时机含冰冻期\买卖股票的最佳时机含冰冻期\源.cpp(17): error C2065: “dp”: 未声明的标识符
c:\users\13978\desktop\yaogit666\买卖股票的最佳时机含冰冻期\买卖股票的最佳时机含冰冻期\源.cpp(17): error C2065: “prices”: 未声明的标识符
c:\users\13978\desktop\yaogit666\买卖股票的最佳时机含冰冻期\买卖股票的最佳时机含冰冻期\源.cpp(17): error C3861: “max”: 找不到标识符
c:\users\13978\desktop\yaogit666\买卖股票的最佳时机含冰冻期\买卖股票的最佳时机含冰冻期\源.cpp(19): error C2065: “dp”: 未声明的标识符
